UpdateTime_10:24 AM CO_37 Temperature_2 PM10_124 AQI_223 EngName_Haidianbeibuxinqu SO2_5 Humidity_75 Pressure_1020 PM25_223 NO2_51 O3_9 Wind_2
UpdateTime_12:00 AM CO_None Temperature_2 PM10_None AQI_None EngName_Haidianbeijingzhiwuyuan SO2_None Humidity_75 Pressure_1020 PM25_None NO2_None O3_None Wind_2
UpdateTime_10:24 AM CO_30 Temperature_2 PM10_None AQI_195 EngName_Haidianwanliu SO2_10 Humidity_75 Pressure_1020 PM25_195 NO2_43 O3_14 Wind_2
UpdateTime_10:24 AM CO_30 Temperature_2 PM10_None AQI_215 EngName_Xizhimenbeidajie SO2_6 Humidity_75 Pressure_1020 PM25_215 NO2_53 O3_11 Wind_2
UpdateTime_10:24 AM CO_42 Temperature_1 PM10_None AQI_217 EngName_Shijingshangucheng SO2_4 Humidity_74 Pressure_1018 PM25_217 NO2_55 O3_8 Wind_2
UpdateTime_10:24 AM CO_35 Temperature_1 PM10_None AQI_212 EngName_Fengtaiyungang SO2_7 Humidity_81 Pressure_1019 PM25_212 NO2_47 O3_10 Wind_2
UpdateTime_10:24 AM CO_37 Temperature_1 PM10_None AQI_224 EngName_Yongdingmenneidajie SO2_11 Humidity_81 Pressure_1019 PM25_224 NO2_65 O3_6 Wind_2
UpdateTime_10:24 AM CO_37 Temperature_1 PM10_120 AQI_225 EngName_Nansanhuanxilu SO2_12 Humidity_81 Pressure_1019 PM25_225 NO2_73 O3_4 Wind_2
UpdateTime_10:24 AM CO_37 Temperature_1 PM10_None AQI_225 EngName_Fengtaihuayuan SO2_9 Humidity_81 Pressure_1019 PM25_225 NO2_53 O3_8 Wind_2
UpdateTime_10:24 AM CO_37 Temperature_0 PM10_None AQI_223 EngName_Fangshanliangxiang SO2_3 Humidity_83 Pressure_1019 PM25_223 NO2_58 O3_5 Wind_0
UpdateTime_10:24 AM CO_65 Temperature_0 PM10_143 AQI_285 EngName_Jingxinanliulihe SO2_11 Humidity_83 Pressure_1019 PM25_285 NO2_77 O3_1 Wind_0
UpdateTime_10:24 AM CO_32 Temperature_1 PM10_None AQI_200 EngName_Chaoyangaotizhongxin SO2_8 Humidity_78 Pressure_1021 PM25_200 NO2_45 O3_10 Wind_2
UpdateTime_10:24 AM CO_30 Temperature_1 PM10_None AQI_201 EngName_Chaoyangnongzhanguan SO2_10 Humidity_78 Pressure_1021 PM25_201 NO2_38 O3_13 Wind_2
